name,link,rating,num_reviews,price,cuisine,district,num_bookings
Bella Trattoria,https://www.opentable.com/r/bella-trattoria-italiana-san-francisco,4.7,1812,$$,Italian,Richmond District,48
Magic Flute,https://www.opentable.com/magic-flute,4.7,1289,$$,Italian,Pacific Heights,8
California Fish Market Restaurant,https://www.opentable.com/r/california-fish-market-restaurant-san-francisco,4.7,58,$$,Italian,North Beach,3
NOVY,https://www.opentable.com/r/novy-san-francisco-2,4.7,267,$$,Greek,Noe Valley,42
Miller's  Rest,https://www.opentable.com/r/millers-rest-san-francisco,4.7,44,$$,American,Nob Hill,31
Sasaki,https://www.opentable.com/r/sasaki-san-francisco,4.7,133,$$$$,Japanese,Mission,5
Tuba Restaurant,https://www.opentable.com/tuba-restaurant,4.7,949,$$$,Turkish,Mission,9
Caffe Fiore - San Francisco,https://www.opentable.com/caffe-fiore-san-francisco,4.7,280,$$,Italian,Mission,9
Sake Bomb,https://www.opentable.com/r/sake-bomb-san-francisco,4.7,7,$$,Sushi,Mission,6
Rosamunde Sausage Grill San Francisco,https://www.opentable.com/r/rosamunde-sausage-grill-san-francisco,4.7,15,$$,German,Mission,8
Heirloom Cafe,https://www.opentable.com/heirloom-cafe,4.7,1098,$$,Californian,Mission,0
TamashiSoul Sushi Bar,https://www.opentable.com/tamashisoul-sushi-bar,4.7,114,$$$,Japanese,Marina / Cow Hollow / Presidio,14
Ace Wasabi Rock-N-Roll Sushi,https://www.opentable.com/ace-wasabis-rock-n-roll-sushi,4.7,103,$$,Sushi,Marina / Cow Hollow / Presidio,42
A16 - San Francisco,https://www.opentable.com/r/a16-san-francisco,4.7,4417,$$$,Italian,Marina / Cow Hollow / Presidio,79
Cafe Tiramisu,https://www.opentable.com/r/cafe-tiramisu-san-francisco,4.7,1240,$$$,Italian,Financial District / Embarcadero,17
Pabu Izakaya San Francisco,https://www.opentable.com/r/pabu-izakaya-san-francisco-san-francisco,4.7,1170,$$$,Japanese,Financial District / Embarcadero,31
Roka Akor - San Francisco,https://www.opentable.com/r/roka-akor-san-francisco,4.7,1442,$$,Japanese,Financial District / Embarcadero,48
BIX,https://www.opentable.com/r/bix-san-francisco,4.7,3846,$$$,American,Financial District / Embarcadero,29
One Market Restaurant,https://www.opentable.com/r/one-market-restaurant-san-francisco,4.7,4266,$$$,Contemporary American,Financial District / Embarcadero,28
Waterbar,https://www.opentable.com/r/waterbar-san-francisco,4.7,8319,$$$,Seafood,Financial District / Embarcadero,125
La Mar Cebicheria Peruana,https://www.opentable.com/r/la-mar-cebicheria-peruana-san-francisco,4.7,6086,$$$,Peruvian,Financial District / Embarcadero,209
Mourad,https://www.opentable.com/mourad,4.7,2143,$$$$,Californian,Financial District / Embarcadero,0
Barcha,https://www.opentable.com/barcha,4.7,856,$$$,Mediterranean,Financial District / Embarcadero,42
Historic John's Grill,https://www.opentable.com/r/historic-johns-grill-san-francisco,4.7,5494,$$$,American,Downtown / Union Square,47
